X,Y,Z,Conductividad
53137.5,85195.08,4415,0.02606
53137.5,85195.08,4410,0.03401
53137.5,85195.08,4405,0.02704
53137.5,85195.08,4400,0.02052
53137.5,85195.1,4400,0.01705
53137.5,85195.1,4405,0.01479
53137.5,85195.1,4410,0.01775
53137.5,85195.1,4415,0.02354
53137.5,85195.12,4415,0.01797
53137.5,85195.12,4410,0.01579
53137.5,85195.12,4405,0.01781
53137.5,85195.12,4400,0.01401
53137.3,85195.12,4400,0.01337
53137.3,85195.12,4405,0.01341
53137.3,85195.12,4410,0.0199
53137.3,85195.12,4415,0.02461
53137.3,85195.1,4415,0.04163
53137.3,85195.1,4410,0.02965
53137.3,85195.1,4405,0.01926
53137.3,85195.1,4400,0.01926
53137.3,85195.08,4400,0.01926
53137.3,85195.08,4405,0.01927
53137.3,85195.08,4410,0.01927
53137.3,85195.08,4415,0.01928
53137.1,85195.08,4415,0.01928
53137.1,85195.08,4410,0.01928
53137.1,85195.08,4405,0.01929
53137.1,85195.08,4400,0.01929
53137.1,85195.1,4400,0.0193
53137.1,85195.1,4405,0.0193
53137.1,85195.1,4410,0.01931
53137.1,85195.1,4415,0.01931
53137.1,85195.12,4415,0.01932
53137.1,85195.12,4410,0.01932
53137.1,85195.12,4405,0.01933
53137.1,85195.12,4400,0.01933
